query,rows,cols,fetched
methow_basin_bt_tagging,2664,15,2026-07-24T12:12:05Z
wells_dam_bt_tagging,81,15,2026-07-24T12:12:05Z
upper_columbia_bt_recapture,842,27,2026-07-24T12:12:05Z
upper_columbia_bt_interrogation,8378,19,2026-07-24T12:12:07Z
