tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003BD033A3,CGS-2024-129-WEL.xml,CGS - Charles Snow Projects,WELH - Wells Hatchery,6/12/2024,WELH - Wells Hatchery,6/12/2024,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,470,1
3DD.003BD033AD,CGS-2024-129-WEL.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/5/2024,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/5/2024,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,500,1
3DD.003BD033B8,CGS-2024-129-WEL.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/6/2024,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/7/2024,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,560,1
3DD.003BD033BD,CGS-2024-129-WEL.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/27/2024,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/27/2024,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,570,1
3DD.003BD033C3,CGS-2024-129-WEL.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/28/2024,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/29/2024,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,540,1
3DD.003BD39C05,CGS-2022-123-BC1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/6/2022,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/6/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,490,1
3DD.003BD39C08,CGS-2022-123-BC1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/24/2022,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/24/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,620,1
3DD.003BD39C14,CGS-2022-123-BC1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/6/2022,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/6/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,660,1
3DD.003BD8EA15,CGS16122.EL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/1/2016,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/17/2016,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,520,1
3DD.003BDC73F4,CGS16122.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/1/2016,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/17/2016,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,720,1
3DD.003D2898BD,CGS-2018-136-WL1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/14/2018,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/15/2018,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,590,1
3DD.003D3AB780,CGS-2020-120-WL1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/31/2020,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/1/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,690,1
3DD.003D9371FC,CGS-2020-120-WL1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/22/2020,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/23/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,540,1
