tag,mark_file,mark_date,mark_site,release_date,release_site,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,recap_date,recap_file,recap_release_date,recap_release_site,recap_site,recap_species_code,recap_species_name,recap_run_code,recap_run_name,recap_rear_type_code,recap_rear_type_name,recap_length,recap_capture_method_name,recap_capture_method_code,recap_count
3DD.0077412D7F,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/6/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/2/2018,NBD-2018-079-001.xml,7/2/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.00774130C1,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/26/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/6/2018,NBD-2018-079-001.xml,7/6/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.0077413E29,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/5/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/14/2019,NBD-2019-163-001.xml,6/14/2019,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Weir Trap,WTRAP,1
3DD.0077413F8A,NBD18309.AAZ,11/5/2018,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",11/5/2018,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/3/2021,NBD-2021-142-001.xml,7/3/2021,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,550,Adult Passage Ladder,LADDER,1
3DD.00774147A5,NBD-2019-163-001.xml,6/27/2019,CHIW - Chiwawa Weir,6/27/2019,CHIWAR - Chiwawa River,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/25/2025,NBD-2025-176-001.xml,6/25/2025,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,570,Weir Trap,WTRAP,1
3DD.0077414C16,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",6/24/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/14/2018,NBD-2018-079-001.xml,6/14/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,580,Adult Passage Ladder,LADDER,1
3DD.00774150DE,CSS-2020-259-112.xml,9/15/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",9/15/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/17/2022,NBD-2022-193-001.xml,7/17/2022,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.00774150DE,CSS-2020-259-112.xml,9/15/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",9/15/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/17/2022,NBD-2022-194-002.xml,7/17/2022,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Weir Trap,WTRAP,1
3DD.00774150DE,CSS-2020-259-112.xml,9/15/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",9/15/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/17/2022,NBD-2022-195-001.xml,7/17/2022,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Weir Trap,WTRAP,1
3DD.0077417818,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/10/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/22/2019,NBD-2019-137-001.xml,6/22/2019,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,Adult Passage Ladder,LADDER,1
