tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003D519633,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/28/2021,TWISPR - Twisp River,9/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,65,1
3DD.003D519634,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/28/2021,TWISPR - Twisp River,9/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,65,1
3DD.003D519638,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/28/2021,TWISPR - Twisp River,9/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,74,1
3DD.003D519639,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/28/2021,TWISPR - Twisp River,9/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,71,1
3DD.003D519642,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/28/2021,TWISPR - Twisp River,9/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,65,1
3DD.003D51964D,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/28/2021,TWISPR - Twisp River,9/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,101,1
3DD.003D519657,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/11/2021,TWISPR - Twisp River,10/11/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,89,1
3DD.003D51965D,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,87,1
3DD.003D519660,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,87,1
3DD.003D51966B,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/11/2021,TWISPR - Twisp River,10/11/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,87,1
3DD.003D519670,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,81,1
3DD.003D51967E,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/11/2021,TWISPR - Twisp River,10/11/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,86,1
3DD.003D519681,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,164,1
3DD.003D519692,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/11/2021,TWISPR - Twisp River,10/11/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,78,1
3DD.003D519693,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/11/2021,TWISPR - Twisp River,10/11/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,85,1
3DD.003D5196A2,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,90,1
3DD.003D5196A9,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,111,1
3DD.003D5196AB,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,70,1
3DD.003D5196AC,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,154,1
3DD.003D5196B6,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/22/2021,TWISPR - Twisp River,9/22/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,173,1
3DD.003D51976E,CGS-2022-181-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,8/11/2022,TWISPR - Twisp River,8/11/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,198,1
3DD.003D6F0620,CGS-2022-181-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,8/18/2022,TWISPR - Twisp River,8/18/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,181,1
3DD.003D778AC7,CGS-2020-261-UMT.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/8/2020,METRWT - Upper Methow River Rotary Screw Trap,11/8/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,357,1
3DD.003D778C2F,CGS-2020-261-UMT.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,10/18/2020,METRWT - Upper Methow River Rotary Screw Trap,10/18/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,245,1
3DD.003D778EB1,CGS-2020-172-CHE.xml,CGS - Charles Snow Projects,CHERBT - Chewuch River Bridge Rotary Screw Trap,6/30/2020,CHERBT - Chewuch River Bridge Rotary Screw Trap,6/30/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,177,1
3DD.003D779099,CGS-2020-261-UMT.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/5/2020,METRWT - Upper Methow River Rotary Screw Trap,11/6/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,295,1
3DD.003D77941E,CGS-2019-282-CHE.xml,CGS - Charles Snow Projects,CHERBT - Chewuch River Bridge Rotary Screw Trap,11/25/2019,CHERBT - Chewuch River Bridge Rotary Screw Trap,11/25/2019,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,188,1
3DD.003D77947A,CGS-2020-261-UMT.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/6/2020,METRWT - Upper Methow River Rotary Screw Trap,11/6/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,210,1
3DD.003D779485,CGS-2020-261-UMT.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/6/2020,METRWT - Upper Methow River Rotary Screw Trap,11/6/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,219,1
3DD.003D82CEEB,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,8/3/2021,TWISPR - Twisp River,8/3/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,166,1
3DD.003D82CF3E,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/26/2021,TWISPR - Twisp River,7/26/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,202,1
3DD.003D82CFC3,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/15/2021,TWISPR - Twisp River,7/15/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,175,1
3DD.003D82D01F,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,8/20/2021,TWISPR - Twisp River,8/20/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,170,1
3DD.003D82D0C5,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/30/2021,TWISPR - Twisp River,7/30/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,207,1
3DD.003D82D0C9,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/30/2021,TWISPR - Twisp River,7/30/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,225,1
3DD.003D82D0CE,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/28/2021,TWISPR - Twisp River,7/28/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,151,1
3DD.003D82D0D1,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/30/2021,TWISPR - Twisp River,7/30/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,200,1
3DD.003D82D0D5,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/29/2021,TWISPR - Twisp River,7/29/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,205,1
